Name;City;Country;Address;Geonames ID;Geonames Coordinates;histomap; Institution;Source;Other;
Max Neumann;Berlin N24;Deutschland;Elsässerstr. 1-2;;;52.52986209041276, 13.401110067446913;Verlag;Jüdische Bücher aus Berlin;;
Orell Füssli;Leipzig;Deutschland;Hospitalstr. 10;;;;Verlag;Jüdische Bücher aus Berlin;;
ORT-Gesellschaft zur Förderung von Industrie, Handwerk, und Landwirtschaft unter den Juden;Berlin W15;Deutschland;Bleibtreustr. 34-35;;;52.50100620304399, 13.319877792587201;Verlag;Jüdische Bücher aus Berlin;;
ORT-Gesellschaft zur Förderung von Industrie, Handwerk, und Landwirtschaft unter den Juden;Berlin W57;Deutschland;Bülowstr. 90;;;52.49874970605383, 13.361343348014707;Verlag;Jüdische Bücher aus Berlin;;
Ferdinand Ostertag OHG;Berlin W50;Deutschland;Augsburger Str. 28;;;52.50147525685167, 13.335768618696838;Verlag;Jüdische Bücher aus Berlin;;
Ferdinand Ostertag OHG;Berlin W 62;Deutschland;Kleiststr. 20;;;52.501839252065764, 13.34537995225571;Verlag;Jüdische Bücher aus Berlin;;
Ostjüdisches Historisches Archiv;Berlin;Deutschland;;;;;Verlag;Jüdische Bücher aus Berlin;;
OZE-Gesellschaft für den Schutz der Gesundheit der Juden;Berlin W57;Deutschland;Frobenstr. 4;;;52.49885303530791, 13.359460653286899;Verlag;Jüdische Bücher aus Berlin;;
Parde(y)s (Verlag);Berlin C2;Deutschland;Neue Königstr. 42;;;52.523025367989916, 13.414821563466463;Buchhandlung;Jüdische Bücher aus Berlin;;
Petropolis-Verlag A.-G.;Berlin C2;Deutschland;Burgstr. 30;;;52.522223585358084, 13.401231768967284;Verlag;Jüdische Bücher aus Berlin;;
Petropolis-Verlag A.-G.;Berlin-Charlottenburg;Deutschland;Schlüterstr. 37;;;52.50225898217535, 13.31665414545208;Verlag;Jüdische Bücher aus Berlin;;
Petropolis-Verlag A.-G.;Berlin W15;Deutschland;Joachimsthaler Str. 12;;;52.50278612866312, 13.331626003670035;Verlag;Jüdische Bücher aus Berlin;;
Petropolis-Verlag A.-G.;Berlin W15;Deutschland;Meinekestr. 19;;;52.50076537222809, 13.32910846559032;Verlag;Jüdische Bücher aus Berlin;;
Poale Zion;Berlin N24;Deutschland;Auguststr. 17;;;52.526637942172535, 13.395493589466525;Verlag;Jüdische Bücher aus Berlin;;
Pressa;Berlin;Deutschland;;;;;Verlag;Jüdische Bücher aus Berlin;;
Pries, August;Berlin;Deutschland;;;;;;Jüdische Bücher aus Berlin;;
Renaissance;Berlin SW68;Deutschland;;;;;Druckerei;Jüdische Bücher aus Berlin;;
Rimon-Verlag;Berlin W30;Deutschland;Hohenstaufenstr. 43;;;52.49425422310338, 13.339839692587033;Verlag;Jüdische Bücher aus Berlin;;
Rimon-Verlag;Berlin-Halensee;Deutschland;Auguste Viktoriastr. 5;;;52.49234082616766, 13.29141158491431;Verlag;Jüdische Bücher aus Berlin;;
Rosent(h)al & Co.;Berlin;Deutschland;;;;;Druckerei;Jüdische Bücher aus Berlin;;
Rubin, Viktor;Berlin;Deutschland;;;;;;Jüdische Bücher aus Berlin;;
Sandig, Ernst;Berlin;Deutschland;;;;;;Jüdische Bücher aus Berlin;;
Schapiro, Leonid;Berlin;Deutschland;;;;;;Jüdische Bücher aus Berlin;;
Schemesch;Leipzig;Deutschland;;;;;Verlag;Jüdische Bücher aus Berlin;;
Schindler, Max;Berlin-Grunewald;Deutschland;Cunowstr. 58;;;52.48789439492612, 13.296952199391402;Schriftsteller;Jüdische Bücher aus Berlin;;
Schocken Verlag;Berlin SW19;Deutschland;Jerusalemer Str. 65/66;;;52.506267544711605, 13.397332562876207;Verlag;Jüdische Bücher aus Berlin;;
Buchdruckerei Siegfried Scholem;Berlin-Schöneberg;Deutschland;Hauptstr. 8;;;52.489416310152095, 13.359083296785652;Druckerei;Jüdische Bücher aus Berlin;;
Schule und Welt, Farlag Shul und velt;Berlin-Halensee;Deutschland;;;;;Verlag;Jüdische Bücher aus Berlin;;
"Verlag Schwellen, Farlag ""shveln""";Berlin-Charlottenburg;Deutschland;Kantstr. 68;;;52.507091994164895, 13.302120565599186;Verlag;Jüdische Bücher aus Berlin;;
Bcudruckerei Sefer GmbH;Berlin S14;Deutschland;Dresdener Str. 43;;;52.50658136750005, 13.413856844260893;Druckerei;Jüdische Bücher aus Berlin;;
Seidmann, Jankew Jakob;Berlin-Charlottenburg;Deutschland;Witzlebenplatz 3;;;52.50978459644197, 13.293435353922746;Schriftsteller, Verleger;Jüdische Bücher aus Berlin;;
Dr. Selle & Co. AG;Berlin SW29;Deutschland;Zossener Str. 55;;;52.49456894080498, 13.395432082712395;Druckerei;Jüdische Bücher aus Berlin;;
W. Sommer;Berlin-Schöneberg;Deutschland;;;;;Druckerei;Jüdische Bücher aus Berlin;;
Soncino-Gesellschaft;Berlin C2;Deutschland;Kaiser-Wilhelmstr. 12;;;52.52154220150323, 13.407566179920055;Verlag;Jüdische Bücher aus Berlin;;
Spamersche Buchdruckerei;Leipzig C1;Deutschland;Crusiusstr. 10;;;;Druckerei;Jüdische Bücher aus Berlin;;
Steimatzky, Jesekiel;Berlin;Deutschland;Flotowstr. 11;;;52.51638145616061, 13.337078211563828;Kaufmann;Jüdische Bücher aus Berlin;;
Stybel, Abraham J. ;Berlin;Deutschland;;;;;Verlag;Jüdische Bücher aus Berlin;;
Lehrmittelverlag A. G. Syrkin;Berlin W 35;Deutschland;Lützowstr. 42;;;52.50485571076113, 13.358569017398677;Verlag;Jüdische Bücher aus Berlin;;
Lehrmittelverlag A. G. Syrkin;Berlin-Lichterfelde;Deutschland;Elisabethstr. 4;;;52.434679987247755, 13.340668995819643;Verlag;Jüdische Bücher aus Berlin;;
Sztejnberg, Aron;Berlin-Charlottenburg;Deutschland;Knesebeckstr. 28;;;52.504246699160255, 13.321991639697936;Buchhändler;Jüdische Bücher aus Berlin;;
B. G. Teubner;Leipzig C1;Deutschland;Poststr. 3;;;;Druckerei;Jüdische Bücher aus Berlin;;
Trowitzsch & Sohn;Berlin;Deutschland;;;;;Verlag;Jüdische Bücher aus Berlin;;
Ullstein-Verlag;Berlin;Deutschland;;;;;Verlag;Jüdische Bücher aus Berlin;;
Buchdruckerei Victoria GmbH;Berlin-Charlottenburg;Deutschland;Berliner Str. 128;;;52.48635072920583, 13.320181463725813;Druckerei;Jüdische Bücher aus Berlin;;
Buchdruckerei Victoria GmbH;Berlin-Charlottenburg;Deutschland;Spreestr. 52-53;;;52.51861939349293, 13.30746194599976;Druckerei;Jüdische Bücher aus Berlin;;
Welt-Verlag GmbH;Berlin NW7;Deutschland;Dorotheenstr. 35;;;52.518124492042475, 13.378363350035448;Verlag;Jüdische Bücher aus Berlin;;
Felix Wolf GmbH;Berlin;Deutschland;;;;;Druckerei;Jüdische Bücher aus Berlin;;
Wostok;Berlin W15;Deutschland;Ludwigkirchstr. 11;;;52.49790522962789, 13.325207445721942;Verlag;Jüdische Bücher aus Berlin;;
Wostok;Berlin C2;Deutschland; An der Spandauer Brücke 2;;;52.52286711016421, 13.404237303504482;Verlag;Jüdische Bücher aus Berlin;;
Wostok;Berlin SW68;Deutschland;Kochstr. 73;;;52.506665025354216, 13.386877433385553;Verlag;Jüdische Bücher aus Berlin;;
Wostok;Berlin SW48;Deutschland;Wilhelmstr. 136;;;52.50132660854601, 13.38853902047554;Verlag;Jüdische Bücher aus Berlin;;
Wostok;Berlin W50;Deutschland;Budapester Str.11;;;52.51091367148442, 13.376732303799313;Verlag;Jüdische Bücher aus Berlin;;
YIVO - Yidisher Visnshaftlekher Institut;Berlin-Wilmersdorf;Deutschland;BerlinerStr. 8;;;52.48777740771531, 13.332932675063914;Verlag;Jüdische Bücher aus Berlin;;
Zahn & Baendel;Kirchhain;Deutschland;Cottbuser Str. 5;;;;Druckerei;Jüdische Bücher aus Berlin;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;; 
