ID	creator	title	title-alt-script	publisher	to split 1	clusteredPlaces	clusteredPublisher	date	language	imagecount
nybc211567	Borochov, Ber, 1881-1917	Eḳonomishe antṿiḳlung fun Idishen folḳ	די עקאנאמישע אנטוויקלונג פון אידישען פאלק	Ṿarshe : Arbeyṭer-heym	Ṿarshe 	Warsaw	Arbeyṭer-heym	1919	yid	26
nybc211569	Ber, of Bolechow	Ber Bolekhoṿers zikhroynes̀	בער באלעכאווערס זכרונות	Berlin : Klal-farlag	Berlin 	Berlin	Klal-farlag	1922	yid	162
nybc211570	Dostoyevsky, Fyodor, 1821-1881	Ferbrekhen un shṭrof roman	פערברעכען און שטראף : ראמאן	Ṿarsha : Progres	Ṿarsha 	Warsaw	Progres	1912	yid	362
nybc211573	Sheneʼurson, Fishl, d. 1958	Grenadir-shṭrase roman fun Yidishn lebn in Dayṭshland	גרענאדיר-שטראסע : ראמאן פון יידישן לעבן אין דייטשלאנד	Ṿarshe : Liṭeraṭur bleṭer	Ṿarshe 	Warsaw	Liṭeraṭur bleṭer	1935	yid	240
nybc211574	Shakhnoṿsḳi, Naḥum	Lider gezungen funem folḳ	לידער געזונגען פומעם פאלק	Pariz : Naṭan	Pariz 	Paris	Naṭan	1958	yid	88
nybc211575	Hofstein, David	Ikh gleyb	איכ גלייב	Mosḳṿe : Der emes	Mosḳṿe 	Moskva	Der emes	1944	yid	70
nybc211578	Gets, Menaḥem	Be-darkhe avotenu	בדרכי אבותינו	Yerusholayim : [Orayta]	Yerusholayim 	Jerusalem	Orayta	1979	yid	146
nybc211582	Strindberg, August	Frayleyn Yulya	פרייליין יוליא	Nyu Yorḳ : Mayzel	Nyu Yorḳ 	New York, N.Y.	Mayzel	1910	yid	70
nybc211583	Strindberg, August	Far'n ṭoyṭ	פאר'ן טויט	Nyu-Yorḳ : M. Yanḳoṿiṭts	Nyu-Yorḳ 	New York, N.Y.	M. Yanḳoṿiṭts	[191-?]	yid	28
nybc211586	Malamuṭ, Y. L. (Yoʼel Leyb), 1886-	Dos tsoyber shṭeḳele Tsṿey brider : Amol iz geṿen a meylekh	דאס צויבער שטעקעלע : צוויי ברידער : אמאל אדיז געווען א מלך	Sṭ. Luis : Mayśelekh	Sṭ. Luis 	Sṭ. Luis	Mayśe'lekh	[19--?]	yid	66
nybc211587	Fenster, B.	Royṭe ṿinṭn	רויטע ווינטן	"Denṿer : Farlag ""Fraynṭ"""	Denṿer 	Denṿer	"Farlag ""Fraynṭ"""	c1929	yid	106
nybc211588	France, Anatole	Der ḳleyner Pyer	דער קליינער פיער	Ṿarshe : Sh. Goldfarb	Ṿarshe 	Warsaw	Sh. Goldfarb	1929	yid	330
nybc211589	France, Anatole	Der pingṿinen-inzl	דער פינווינען-אינזל	Ṿarshe : Sh. Goldfarb	Ṿarshe 	Warsaw	Sh. Goldfarb	1927	yid	410
nybc211591	Rimon, Itzhak, 1913-1968	Indye un Tseylon naṭur, ṿirṭshafṭ, bafelḳerung, batsiungen	אינדיע און ציילאן : נאטור, ווירטשאפט, באפעלקערונג, באציונגען	Ḳieṿ : Ḳultur lige	Ḳieṿ 	Kiev	Ḳultur-lige	1930	yid	178
nybc211592	Segalowitch, Zusman, 1884-1949	Di ṿanṭ dramaṭisher eṭyud	די וואנט : דראמאטישער עטיוד	Ṿarshe : A. Giṭlin	Ṿarshe 	Warsaw	A. Giṭlin	1920	yid	34
nybc211593	Segal, Kalman	Tsu mayn nayer heym poemes un lider	צו מיין נייער היים : פאעמעס און לידער	Ṿarshe : Yidish bukh	Ṿarshe 	Warsaw	Yidish bukh	1953	yid	58
nybc211595	Hamsun, Knut, 1859-1952	Der redaḳṭor roman	דער רעדאקטאר : ראמאן	"Ṿarsha : ""ha-Tsefirah"""	Ṿarsha 	Warsaw	"""ha-Tsefirah"""	1911	yid	248
nybc211596	Hirschbein, Peretz, 1880-1948	Der inṭeligenṭ a drama in 3 aḳṭen	דער אינטעליגענט : א דראמא אין 3 אקטען	Ṿarsha : A. Giṭlin	Ṿarsha 	Warsaw	A. Giṭlin	[190-]	yid	50
nybc211597	Ṭshernis, Yashe, 1909-1977	Der ṿeg ḳeyn Ḳuḳan	דער וועג קיין קוקאן	Mosḳṿe : Soṿeṭsḳi pisaṭel	Mosḳṿe 	Moskva	Soṿeṭsḳi pisaṭel	1984	yid	66
nybc211598	Menachovsky, M. (Moshe), 1893-1969	A balerndiḳer simpozyum ṿegn Yidish in Medines̀ Yiśroel	א באלערנדיקער סימפאזיום וועגן יידיש אין מדינת ישראל	Meḳsiḳe : [o. fg.]	Meḳsiḳe 	Mexico	o. fg.,	1968	yid	18
nybc211599	Biletzky, Israel Ch., 1914-	Dray legendare geshṭalṭn in der Yidisher liṭeraṭur Meshieḥ, Elyohu Hanovi, Baal-Shem-Ṭov : eseyen	דריי לעגענדארע געשטאלטן אין דער יידישער ליטעראטור : משיח, אליהו הנביא, בעל-שם-טוב : עסייען	Tel-Aviv : Yiśroel bukh	Tel-Aviv 	Tel-Aviv	Yiśroel-bukh	1988	yid	122
nybc211600		Dinah Royṭḳop	דינה רויטקאפ	Tel-Aviv : 21 Elel	Tel-Aviv 	Tel-Aviv	21 Elel	1976	yid	122
nybc211603	Tempel, Mendel, 1907-	Di sheydim-ozyere un andere dertseylungen	די שדים-אזיערע : און אנדערע דערציילונגען	Ṿarshe : Farlag Yidish bukh	Ṿarshe 	Warsaw	Farlag Yidish bukh	1962	yid	176
nybc211604	Kojl, Jacob	Zamashṭsh ḥurbm lider	זאמאשטש : חורבן-לידער	Bruḳlin : Zamashṭsher frag. brenṭsh 375	Bruḳlin 	Brooklyn, New York	Zamashṭsher frag. brenṭsh 375	1974	yid	34
