Name;City;Country;Address;Geonames ID;Geonames Coordinates;histomap; Institution;Source;Other;Spalte1
Bornstein, Juda; Krakau; Klein-Polen; Krakowskastr. 12;3094802;50.06143, 19.93658;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Brandeis, Jakob, B.; Breslau; Deutschland; Karlstraße 29;3081368;51.1, 17.03333;; Verlagsbuchhandlung und Sortimentsbuchhandlung;Adressbuch jüdischer Buchhandel; Bankverb.: Dresdner Bank, Breslau. Postscheck-Konto-Abtlg. Schloßstr., Breslau 70;
Brandeis, J. B.; Prag 1; Tschechoslowakei; Zeltnergasse 33;3067696;50.08804, 14.42076;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;;
Brzoza, Ch.; Warschau; Polen; Leszno 27;756135;52.22977, 21.01178;; Verlag jiddischer Bücher;Adressbuch jüdischer Buchhandel; Auslieferung durch Kultur-Liga;
Bulka, Isaak; Nürnberg; Bayern; Jakobstr. 20;2861650;49.45421, 11.07752;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel; Bankverb.: Dresdner Bank. Postscheckamt: Nürnberg 18557;
Bycher, Kooperativ; Warschau; Polen; Nalewki 2a;756135;52.22977, 21.01178;; Buchhandlung jidd. Abteilung;Adressbuch jüdischer Buchhandel;" Postscheckamt: P.K.O. 13196. "" Auslieferung von B. Kletzkin u. """"Central"""" """;
Cailingold, M. L.; London E1; England; 7 Ok Montague Street;2643743;51.50853, -0.12574;; Buchhandlung;Adressbuch jüdischer Buchhandel; Tel. Avenue 3280;
Cailingold, N.; Warschau; Polen; Franciskanska 35;756135;52.22977, 21.01178;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Central; Warschau; Polen; Nowolipki 7;756135;52.22977, 21.01178;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;" Tel.: 61 -63. Postscheckamt: P.K.O. 3791. Tel.-Adr. ""Centrmerkaz"". Postfach Warschau 1. 307. Auslieferung von Stybel, Gordon, Achisefer usw. ";
Centralna Organizacja, Szkolna; Wilna; Polen; Skrz. Poczt. 66;593116;54.68916, 25.2798;; Verlag jiddischer Bücher ;Adressbuch jüdischer Buchhandel;;
Ceshinsky's Community Book and Stationery Store; Chicago III; U.S.A.; 2720 W. Division Street;4887398;41.85003, -87.65005;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Chamowitz, B.; Chicago III; U.S.A.; 3349 Roosevelt Road;4887398;41.85003, -87.65005;; Hebr. Buchhandlung;Adressbuch jüdischer Buchhandel;;
Chawazeleth; Wien II; Oesterreich; Zirkusgasse 33;2761369;48.20849, 16.37208;; Buchhandlung;Adressbuch jüdischer Buchhandel; Inh. Gebr. Lanczener. Bankverb.: Mercurbank Wien II;
Chawerim; New York; U.S.A.; 917 E. 178 Str;5128581;40.71427, -74.00597;; Verlag hebräischer Bücher;Adressbuch jüdischer Buchhandel;;
Cherezli, Salomon; Jerusalem; Palästina;;281184;31.76904, 35.21633;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;;
Cheruth; Tel-Awiw; Palästina; a. Kasino;293397;32.08088, 34.78057;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Chewri erez-israelit lehafazat sefarim; Jerusalem; Palästina;;281184;31.76904, 35.21633;; Büchervertrieb;Adressbuch jüdischer Buchhandel; P.O.B. 353;
Chorew; Berlin W30; Deutschland; Bamberg Straße 5;2950159;52.52437, 13.41053;52.496587962063444, 13.337273845610575; Verlag hebräischer Bücher;Adressbuch jüdischer Buchhandel;;
Cohen, B.; London 5E17; England; 15 Vorle Street;2643743;51.50853, -0.12574;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Cohen, F.; Johannesburg; Südafrika; 45 Commissioner Street;993800;-26.20227, 28.04363;;;Adressbuch jüdischer Buchhandel; P.O.B. 2764;
van Crefeld & Co; Amsterdam; Holland; J. D. Meijerplein 8-10;2759794;52.37403, 4.88969;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Dos Bichel, S. Monderer; Krakau; Klein-Polen; Grzegorzeckastr. 59;3094802;50.06143, 19.93658;; Verlag für jidd. u. hebr. Bücher;Adressbuch jüdischer Buchhandel; Postscheckamt: Warschau 142674 ;
The Dropsie College for Hebrew and Cognate Learning; Philadelphia Pa.; U.S.A.; Broad and York Street;4560349;39.95238, -75.16362;; Verlag;Adressbuch jüdischer Buchhandel;;
Druckermann, S.; New York; U.S.A.; 50 Canal Street;5128581;40.71427, -74.00597;; Buchhandlung u. Verlag;Adressbuch jüdischer Buchhandel;;
"The ""Dvir"", Company Ltd./Publishing House"; Tel-Awiw; Palästina;;293397;32.08088, 34.78057;; ;Adressbuch jüdischer Buchhandel;" "" P.O.B 149 Auslieferung von """"Dwir- Mikra"""" und """"Koheleth"""" """;
Dwir-Mikra s. Mikra;;;;;;;;Adressbuch jüdischer Buchhandel;;
Educationat Statlonery House; New York; U.S.A.; 122-5th Ave;5128581;40.71427, -74.00597;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Eigens; Philadelphia Pa.; U.S.A.; 5115 Viola St;4560349;39.95238, -75.16362;; Verlag;Adressbuch jüdischer Buchhandel;;
Elkin, S., National Book Store; Winnipeg; Canada; 443 Selkirk Ave.;6183235;49.8844, -97.14704;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Ellinger, K; Bratislava; Tschechoslowakei; Kapuzinerstr. 2;3060972;48.14816, 17.10674;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Engel, Gustav; Leipzig; Deutschland; Talstr. 15;2879139;51.33962, 12.37129;; Verlag;Adressbuch jüdischer Buchhandel; Postscheckamt Leipzig 56266;
Epstein, S. E.; New York; U.S.A.; 11 W. 86th. Str.;5128581;40.71427, -74.00597;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Erdberg, Publ. Co.; New York; U.S.A.; 187 East Broadway;5128581;40.71427, -74.00597;; Verlag;Adressbuch jüdischer Buchhandel;;
Eschkol Verlagsgesellschaft für hebräische Literatur A.-G.; Berlin-Charlottenburg; Deutschland; Bismarckstr. 106;2940187;52.51667, 13.28333;52.51194311124399, 13.315877643849923; Verlag hebräischer Bücher sowie der Enzyklopädie des Judentums;Adressbuch jüdischer Buchhandel;;
Eth Libnoth, J. Pissarewsky; London WC1; England; 26 Brunstreed Square;2643743;51.50853, -0.12574;; Verlag hebräischer Bücher;Adressbuch jüdischer Buchhandel;;
Ettinger, E.; Riga; Lettland; Kalkstr. 1;456172;56.946, 24.10589;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
